year,ref_ori,ref_kc200,ref_kc400,co2_ori,co2_kc200,co2_kc400,ref_ori,ref_kc200,ref_kc400,co2_ori,co2_kc200,co2_kc400,CO2_ori,CO2_kc200,CO2_kc400,pgC,CO2_ori,CO2_kc200,CO2_kc400,kc200,ref_12,ref_13,co2_12,co2_13,cum,ref_12,ref_13,co2_12,co2_13,effect,co2_12,co2_13,ori,ref_12,ref_13,co2_12,co2_13,cum,ref_12,ref_13,co2_12,co2_13,effect,co2_12,co2_13
1701,-20.187,5.453,28.236,-19.662,4.592,28.058,-20.187,5.453,28.236,-19.662,4.592,28.058,0.525,-0.861,-0.178,,0.000525,-0.000861,-0.000178,,-9.023,8.456,-8.503,7.451,,-9.023,8.456,-8.503,7.451,,0.52,-1.005,,-8.163,-18.072,-8.244,-17.54,,-8.163,-18.072,-8.244,-17.54,,-0.081,0.532
1702,19.389,-1.829,-48.879,19.694,-4.181,-48.707,-0.798,3.624,-20.643,0.032,0.411,-20.649,0.83,-3.213,-0.006,,0.00083,-0.003213,-6E-06,,-13.459,13.675,-13.93,12.103,,-22.482,22.131,-22.433,19.554,,0.049,-2.577,,-13.827,35.391,-13.792,35.905,,-21.99,17.319,-22.036,18.365,,-0.046,1.046
1703,-31.793,-38.09,10.073,-32.29,-34.492,9.999,-32.591,-34.466,-10.57,-32.258,-34.081,-10.65,0.333,0.385,-0.08,,0.000333,0.000385,-8E-05,,-9.609,-31.902,-9.183,-28.876,,-32.091,-9.771,-31.616,-9.322,,0.475,0.449,,-8.951,-26.64,-8.974,-27.001,,-30.941,-9.321,-31.01,-8.636,,-0.069,0.685
1704,-22.461,1.756,-16.488,-23.365,0.8,-14.752,-55.052,-32.71,-27.058,-55.623,-33.281,-25.402,-0.571,-0.571,1.656,,-0.000571,-0.000571,0.001656,,-11.567,7.799,-11.971,7.251,,-43.658,-1.972,-43.587,-2.071,,0.071,-0.099,,-12.317,-16.104,-12.264,-16.813,,-43.258,-25.425,-43.274,-25.449,,-0.016,-0.024
1705,32.15,9.746,7.062,32.968,7.897,4.074,-22.902,-22.964,-19.996,-22.655,-25.384,-21.328,0.247,-2.42,-1.332,,0.000247,-0.00242,-0.001332,,-10.522,13.693,-10.143,11.536,,-54.18,11.721,-53.73,9.465,,0.45,-2.256,,-11.135,36.343,-11.168,37.474,,-54.393,10.918,-54.442,12.025,,-0.049,1.107
1706,-32.544,-28.805,-25.552,-33.832,-26.95,-23.165,-55.446,-51.769,-45.548,-56.487,-52.334,-44.493,-1.041,-0.565,1.055,,-0.001041,-0.000565,0.001055,,-10.747,-24.49,-11.109,-22.215,,-64.927,-12.769,-64.839,-12.75,,0.088,0.019,,-11.132,-28.341,-11.127,-29.053,,-65.525,-17.423,-65.569,-17.028,,-0.044,0.395
1707,-17.799,-1.867,13.942,-18.59,-0.573,11.793,-73.245,-53.636,-31.606,-75.077,-52.907,-32.7,-1.832,0.729,-1.094,,-0.001832,0.000729,-0.001094,,-11.281,2.468,-10.923,3.463,,-76.208,-10.301,-75.762,-9.287,,0.446,1.014,,-10.244,-14.569,-10.229,-15.109,,-75.769,-31.992,-75.798,-32.137,,-0.029,-0.145
1708,36.773,16.372,-19.462,37.519,12.857,-16.951,-36.472,-37.264,-51.068,-37.558,-40.05,-49.651,-1.086,-2.786,1.417,,-0.001086,-0.002786,0.001417,,-11.198,18.148,-11.546,14.927,,-87.406,7.847,-87.308,5.64,,0.098,-2.207,,-11.246,38.528,-11.259,39.384,,-87.015,6.536,-87.057,7.247,,-0.042,0.711
1709,-27.563,-27.864,15.896,-27.591,-25.83,10.916,-64.035,-65.128,-35.172,-65.149,-65.88,-38.735,-1.114,-0.752,-3.563,,-0.001114,-0.000752,-0.003563,,-10.44,-28.622,-10.123,-27.248,,-97.846,-20.775,-97.431,-21.608,,0.415,-0.833,,-9.447,-29.247,-9.455,-29.382,,-96.462,-22.711,-96.512,-22.135,,-0.05,0.576
1710,-16.285,5.645,-9.232,-16.084,7.275,-5.689,-80.32,-59.483,-44.404,-81.233,-58.605,-44.424,-0.913,0.878,-0.02,,-0.000913,0.000878,-2E-05,,-10.908,3.688,-11.193,5.785,,-108.754,-17.087,-108.624,-15.823,,0.13,1.264,,-10.231,-18.694,-10.191,-18.663,,-106.693,-41.405,-106.703,-40.798,,-0.01,0.607
1711,44.625,16.684,13.845,44.504,13.221,11.556,-35.695,-42.799,-30.559,-36.729,-45.384,-32.868,-1.034,-2.585,-2.309,,-0.001034,-0.002585,-0.002309,,-10.359,13.731,-10.053,10.392,,-119.113,-3.356,-118.677,-5.431,,0.436,-2.075,,-10.332,42.241,-10.386,42.069,,-117.025,0.836,-117.089,1.271,,-0.064,0.435
1712,-29.156,-20.698,-22.055,-28.442,-21.753,-22.552,-64.851,-63.497,-52.614,-65.171,-67.137,-55.42,-0.32,-3.64,-2.806,,-0.00032,-0.00364,-0.002806,,-10.301,-23.158,-10.666,-23.607,,-129.414,-26.514,-129.343,-29.038,,0.071,-2.524,,-10.895,-30.9,-10.843,-30.292,,-127.92,-30.064,-127.932,-29.021,,-0.012,1.043
1713,-16.659,2.248,35.002,-17.398,6.373,35.057,-81.51,-61.249,-17.612,-82.569,-60.764,-20.363,-1.059,0.485,-2.751,,-0.001059,0.000485,-0.002751,,-10.689,3.337,-10.333,7.069,,-140.103,-23.177,-139.676,-21.969,,0.427,1.208,,-10.182,-15.899,-10.239,-16.711,,-138.102,-45.963,-138.171,-45.732,,-0.069,0.231
1714,43.276,11.112,-36.271,43.305,9.117,-34.951,-38.234,-50.137,-53.883,-39.264,-51.647,-55.314,-1.03,-1.51,-1.431,,-0.00103,-0.00151,-0.001431,,-9.747,13.8,-10.009,11.475,,-149.85,-9.377,-149.685,-10.494,,0.165,-1.117,,-10.201,46.343,-10.143,46.372,,-148.303,0.38,-148.314,0.64,,-0.011,0.26
1715,-34.709,-31.381,10.465,-34.634,-31.758,7.204,-72.943,-81.518,-43.418,-73.898,-83.405,-48.11,-0.955,-1.887,-4.692,,-0.000955,-0.001887,-0.004692,,-10.206,-26.476,-9.95,-27.37,,-160.056,-35.853,-159.635,-37.864,,0.421,-2.011,,-9.631,-30.702,-9.668,-30.556,,-157.934,-30.322,-157.982,-29.916,,-0.048,0.406
1716,-25.42,6.676,-12.743,-24.59,10.13,-8.815,-98.363,-74.842,-56.161,-98.488,-73.275,-56.925,-0.125,1.567,-0.764,,-0.000125,0.001567,-0.000764,,-9.751,11.2,-9.998,14.236,,-169.807,-24.653,-169.633,-23.628,,0.174,1.025,,-9.828,-21.118,-9.808,-20.504,,-167.762,-51.44,-167.79,-50.42,,-0.028,1.02
1717,42.778,5.964,6.419,42.642,5.785,3.982,-55.585,-68.878,-49.742,-55.846,-67.49,-52.943,-0.261,1.388,-3.201,,-0.000261,0.001388,-0.003201,,-9.533,11.134,-9.253,9.92,,-179.34,-13.519,-178.886,-13.708,,0.454,-0.189,,-9.612,47.651,-9.643,47.196,,-177.374,-3.789,-177.433,-3.224,,-0.059,0.565
1718,-36.064,-32.261,-21.76,-36.424,-34.031,-21.101,-91.649,-101.139,-71.502,-92.27,-101.521,-74.044,-0.621,-0.382,-2.542,,-0.000621,-0.000382,-0.002542,,-9.817,-25.623,-10.126,-27.361,,-189.157,-39.142,-189.012,-41.069,,0.145,-1.927,,-10.089,-29.79,-10.01,-30.062,,-187.463,-33.579,-187.443,-33.286,,0.02,0.293
1719,-29.502,-0.915,11.785,-28.031,2.188,12.285,-121.151,-102.054,-59.717,-120.301,-99.333,-61.759,0.85,2.721,-2.042,,0.00085,0.002721,-0.002042,,-9.957,8.267,-9.328,10.516,,-199.114,-30.875,-198.34,-30.553,,0.774,0.322,,-9.48,-20.3,-9.545,-19.669,,-196.943,-53.879,-196.988,-52.955,,-0.045,0.924
1720,32.508,4.183,-32.592,32.759,3.188,-31.204,-88.643,-97.871,-92.309,-87.542,-96.145,-92.963,1.101,1.726,-0.654,,0.001101,0.001726,-0.000654,,-9.559,13.471,-9.893,12.465,,-208.673,-17.404,-208.233,-18.088,,0.44,-0.684,,-9.693,42.391,-9.678,42.071,,-206.636,-11.488,-206.666,-10.884,,-0.03,0.604
1721,-34.431,-39.525,8.829,-35.032,-40.853,7.082,-123.074,-137.396,-83.48,-122.574,-136.998,-85.881,0.5,0.398,-2.401,,0.0005,0.000398,-0.002401,,-8.099,-30.815,-8.312,-31.766,,-216.772,-48.219,-216.545,-49.854,,0.227,-1.635,,-9.237,-24.697,-9.25,-25.536,,-215.873,-36.185,-215.916,-36.42,,-0.043,-0.235
1722,-33.348,-0.183,-27.995,-31.896,0.288,-25.092,-156.422,-137.579,-111.475,-154.47,-136.71,-110.973,1.952,0.869,0.502,,0.001952,0.000869,0.000502,,-9.516,10.979,-9.805,11.578,,-226.288,-37.24,-226.35,-38.276,,-0.062,-1.036,,-9.646,-21.543,-9.618,-20.426,,-225.519,-57.728,-225.534,-56.846,,-0.015,0.882
1723,29.762,-0.183,2.249,29.687,0.889,1.331,-126.66,-137.762,-109.226,-124.783,-135.821,-109.642,1.877,1.941,-0.416,,0.001877,0.001941,-0.000416,,-9.998,12.392,-9.446,13.015,,-236.286,-24.848,-235.796,-25.261,,0.49,-0.413,,-9.032,41.196,-9.08,41.152,,-234.551,-16.532,-234.614,-15.694,,-0.063,0.838
1724,-34.361,-36.249,-37.058,-35.251,-37.514,-35.298,-161.021,-174.011,-146.284,-160.034,-173.335,-144.94,0.987,0.676,1.344,,0.000987,0.000676,0.001344,,-8.201,-26.79,-8.488,-27.387,,-244.487,-51.638,-244.284,-52.648,,0.203,-1.01,,-9.446,-23.08,-9.392,-23.946,,-243.997,-39.612,-244.006,-39.64,,-0.009,-0.028
1725,-32.451,-1.912,18.428,-32.272,-2.246,17.543,-193.472,-175.923,-127.856,-192.306,-175.581,-127.397,1.166,0.342,0.459,,0.001166,0.000342,0.000459,,-9.241,7.295,-8.94,7.188,,-253.728,-44.343,-253.224,-45.46,,0.504,-1.117,,-8.922,-23.569,-8.977,-23.219,,-252.919,-63.181,-252.983,-62.859,,-0.064,0.322
1726,29.947,7.972,-36.751,31.009,8.136,-35.62,-163.525,-167.951,-164.607,-161.297,-167.445,-163.017,2.228,0.506,1.59,,0.002228,0.000506,0.00159,,-9.021,18.568,-9.323,19.415,,-262.749,-25.775,-262.547,-26.045,,0.202,-0.27,,-9.489,40.996,-9.435,42.232,,-262.408,-22.185,-262.418,-20.627,,-0.01,1.558
1727,-35.724,-42.888,-2.634,-37.374,-43.012,-3.015,-199.249,-210.839,-167.241,-198.671,-210.457,-166.032,0.578,0.382,1.209,,0.000578,0.000382,0.001209,,-8.536,-30.566,-8.545,-30.456,,-271.285,-56.341,-271.092,-56.501,,0.193,-0.16,,-8.822,-23.37,-8.861,-24.545,,-271.23,-45.555,-271.279,-45.172,,-0.049,0.383
1728,-35.118,-5.613,-11.83,-35.354,-6.145,-12.079,-234.367,-216.452,-179.071,-234.025,-216.602,-178.111,0.342,-0.15,0.96,,0.000342,-0.00015,0.00096,,-9.532,7.957,-9.524,7.755,,-280.817,-48.384,-280.616,-48.746,,0.201,-0.362,,-9.286,-21.888,-9.285,-22.169,,-280.516,-67.443,-280.564,-67.341,,-0.048,0.102
1729,29.89,6.331,-7.448,29.482,5.32,-7.269,-204.477,-210.121,-186.519,-204.543,-211.282,-185.38,-0.066,-1.161,1.139,,-6.6E-05,-0.001161,0.001139,,-9.499,18.71,-9.359,18.069,,-290.316,-29.674,-289.975,-30.677,,0.341,-1.003,,-8.742,41.419,-8.769,42.023,,-289.258,-26.024,-289.333,-25.318,,-0.075,0.706
1730,-38.443,-41.085,-28.863,-38.995,-41.168,-30.329,-242.92,-251.206,-215.382,-243.538,-252.45,-215.709,-0.618,-1.244,-0.327,,-0.000618,-0.001244,-0.000327,,-8.816,-28.891,-9.13,-28.419,,-299.132,-58.565,-299.105,-59.096,,0.027,-0.531,,-9.329,-26.701,-9.305,-26.864,,-298.587,-52.725,-298.638,-52.182,,-0.051,0.543
1731,-29.238,-7.166,11.208,-29.868,-6.723,10.934,-272.158,-258.372,-204.174,-273.406,-259.173,-204.775,-1.248,-0.801,-0.601,,-0.001248,-0.000801,-0.000601,,-9.159,4.695,-8.856,4.877,,-308.291,-53.87,-307.961,-54.219,,0.33,-0.349,,-8.679,-18.102,-8.731,-18.565,,-307.266,-70.827,-307.369,-70.747,,-0.103,0.08
1732,26.336,6.52,-37.014,27.221,4.278,-36.23,-245.822,-251.852,-241.188,-246.185,-254.895,-241.005,-0.363,-3.043,0.183,,-0.000363,-0.003043,0.000183,,-6.892,15.767,-7.186,13.506,,-315.183,-38.103,-315.147,-40.713,,0.036,-2.61,,-9.042,37.254,-8.926,37.983,,-316.308,-33.573,-316.295,-32.764,,0.013,0.809
1733,-35.357,-38.485,11.912,-35.192,-35.577,10.093,-281.179,-290.337,-229.276,-281.377,-290.472,-230.912,-0.198,-0.135,-1.636,,-0.000198,-0.000135,-0.001636,,-9.263,-28.027,-9.02,-25.743,,-324.446,-66.13,-324.167,-66.456,,0.279,-0.326,,-8.521,-25.653,-8.569,-25.492,,-324.829,-59.226,-324.864,-58.256,,-0.035,0.97
1734,-24.992,-3.211,-29.854,-25.844,-1.728,-28.904,-306.171,-293.548,-259.13,-307.221,-292.2,-259.816,-1.05,1.348,-0.686,,-0.00105,0.001348,-0.000686,,-9.583,6.931,-9.533,7.987,,-334.029,-59.199,-333.7,-58.469,,0.329,0.73,,-9.065,-15.658,-9.005,-16.552,,-333.894,-74.884,-333.869,-74.808,,0.025,0.076
1735,28.081,0.286,-4.436,28.446,-1.796,-4.905,-278.09,-293.262,-263.566,-278.775,-293.996,-264.721,-0.685,-0.734,-1.155,,-0.000685,-0.000734,-0.001155,,-9.048,11.381,-8.801,8.432,,-343.077,-47.818,-342.501,-50.037,,0.576,-2.219,,-7.486,37.149,-7.385,37.339,,-341.38,-37.735,-341.254,-37.469,,0.126,0.266
