year,LCLUC_2011,LCLUC_NOTIMBER,LCLUC_CONST,LCLUC_2011_cum,LCLUC_NOTIMBER_cum,LCLUC_CONST_cum,LC2011,LC1700,LC1700_CLIMATE,LC1700_CO2,LC1700_O3,LC1700_NDEP,LC1700_REF,LC2011_cum,LC1700_cum,LC1700_CLIMATE_cum,LC1700_CO2_cum,LC1700_O3_cum,LC1700_NDEP_cum,LC1700_REF_cum,Climate,CO2,O3,Ndep,LCLUC,combined LULCC,Conversion Effect,Timber Effect,Growth Enhancements,LULCC_2011_cum,LULCC_NOTIMBER_cum,LULCC_CONST_cum,LC2011_cum,LC1700_cum,TIMBER_SENS,TIMBER_SENS_cum,TIMBER_SENS_cum (Pg),timber_sens,timber_effect_sens,AG_SENS,AG_SENS_CUM,AG_SENS_cum (Pg),ag_sens,500_SENS,500_SENS_cum,500_SENS_cum (Pg),500_sens,500_effect_sens
1701,-33.052,-32.639,4.411,-33.052,-32.639,4.411,-118.041,-55.013,-56.004,-19.662,-19.118,-18.239,-20.187,-118.041,-55.013,-56.004,-19.662,-19.118,-18.239,-20.187,-0.035817,0.000525,0.001069,0.001948,0.024598,0.021961,0.022374,-0.000413,-0.037463,-0.033052,-0.032639,0.004411,-0.118041,-0.055013,-33.13,-33.13,-0.03313,-7.80E-05,-0.000491,-34.484,-34.484,-0.034484,-0.001432,-33.197,-33.197,-0.033197,-0.000145,-0.000558
1702,123.356,123.717,50.609,90.304,91.078,55.02,8.81,78.141,78.29,19.694,16.761,19.898,19.389,-109.231,23.128,22.286,0.032,-2.357,1.659,-0.798,0.023084,0.00083,-0.001559,0.002457,0.055818,0.067176,0.06795,-0.000774,0.035284,0.090304,0.091078,0.05502,-0.109231,0.023128,123.363,90.233,0.090233,-7.10E-05,-0.000845,120.855,86.371,0.086371,-0.003933,123.233,90.036,0.090036,-0.000268,-0.001042
1703,147.035,147.392,-12.552,237.339,238.47,42.468,173.834,113.502,114.488,-32.29,-32.175,-31.327,-31.793,64.603,136.63,136.774,-32.258,-34.532,-29.668,-32.591,0.169365,0.000333,-0.001941,0.002923,0.075059,0.100709,0.10184,-0.001131,0.194871,0.237339,0.23847,0.042468,0.064603,0.13663,147.058,237.291,0.237291,-4.80E-05,-0.001179,145.048,231.419,0.231419,-0.00592,146.902,236.938,0.236938,-0.000401,-0.001532
1704,25.848,25.915,-3.939,263.187,264.385,38.529,33.615,-10.174,-10.672,-23.365,-23.162,-22.801,-22.461,98.218,126.456,126.102,-55.623,-57.694,-52.469,-55.052,0.181154,-0.000571,-0.002642,0.002583,0.093581,0.136731,0.137929,-0.001198,0.224658,0.263187,0.264385,0.038529,0.098218,0.126456,25.861,263.152,0.263152,-3.50E-05,-0.001233,23.733,255.152,0.255152,-0.008035,25.709,262.647,0.262647,-0.00054,-0.001738
1705,304.114,304.218,50.98,567.301,568.603,89.509,199.386,269.207,269.461,32.968,30.98,31.07,32.15,297.604,395.663,395.563,-22.655,-26.714,-21.399,-22.902,0.418465,0.000247,-0.003812,0.001503,0.112411,0.171638,0.17294,-0.001302,0.477792,0.567301,0.568603,0.089509,0.297604,0.395663,304.143,567.295,0.567295,-6.00E-06,-0.001308,302.331,557.483,0.557483,-0.009818,303.976,566.623,0.566623,-0.000678,-0.00198
1706,-16.231,-16.044,-15.617,551.07,552.559,73.892,-307.676,-37.957,-38.097,-33.832,-34.241,-34.534,-32.544,-10.072,357.706,357.466,-56.487,-60.955,-55.933,-55.446,0.412912,-0.001041,-0.005509,-0.000487,0.129338,0.193364,0.194853,-0.001489,0.477178,0.55107,0.552559,0.073892,-0.010072,0.357706,-16.198,551.097,0.551097,2.70E-05,-0.001462,-18.011,539.472,0.539472,-0.011598,-16.376,550.247,0.550247,-0.000823,-0.002312
1707,-414.951,-414.8,-0.592,136.119,137.759,73.3,-416.194,-420.793,-420.731,-18.59,-16.92,-17.141,-17.799,-426.266,-63.087,-63.265,-75.077,-77.875,-73.074,-73.245,0.00998,-0.001832,-0.00463,0.000171,0.146545,0.199206,0.200846,-0.00164,0.062819,0.136119,0.137759,0.0733,-0.426266,-0.063087,-414.959,136.138,0.136138,1.90E-05,-0.001621,-416.607,122.865,0.122865,-0.013254,-415.092,135.155,0.135155,-0.000964,-0.002604
1708,-38.863,-38.827,48.879,97.256,98.932,122.179,-226.987,-49.079,-48.951,37.519,35.513,34.038,36.773,-653.253,-112.166,-112.216,-37.558,-42.362,-39.036,-36.472,-0.075744,-0.001086,-0.00589,-0.002564,0.158651,0.209422,0.211098,-0.001676,-0.024923,0.097256,0.098932,0.122179,-0.653253,-0.112166,-38.84,97.298,0.097298,4.20E-05,-0.001634,-40.275,82.59,0.08259,-0.014666,-38.993,96.162,0.096162,-0.001094,-0.00277
1709,245.4,245.425,-15.455,342.656,344.357,106.724,244.275,234.387,234.533,-27.591,-27.841,-27.179,-27.563,-408.978,122.221,122.317,-65.149,-70.203,-66.215,-64.035,0.186352,-0.001114,-0.006168,-0.00218,0.170759,0.220435,0.222136,-0.001701,0.235932,0.342656,0.344357,0.106724,-0.408978,0.122221,245.442,342.74,0.34274,8.40E-05,-0.001617,244.284,326.874,0.326874,-0.015782,245.264,341.426,0.341426,-0.00123,-0.002931
1710,-227.425,-227.396,-6.547,115.231,116.961,100.177,-228.01,-248.254,-248.354,-16.084,-14.265,-14.317,-16.285,-636.988,-126.033,-126.037,-81.233,-84.468,-80.532,-80.32,-0.045717,-0.000913,-0.004148,-0.000212,0.180497,0.241264,0.242994,-0.00173,0.015054,0.115231,0.116961,0.100177,-0.636988,-0.126033,-227.452,115.288,0.115288,5.70E-05,-0.001673,-228.587,98.287,0.098287,-0.016944,-227.566,113.86,0.11386,-0.001371,-0.003101
