year,forest,NCE_2011,NCE_CONST,NCE_2011_cum,NCE_CONST_cum,crops,NCE_2011,NCE_CONST,NCE_2011_cum,NCE_CONST_cum,pasture,NCE_2011,NCE_CONST,NCE_2011_cum,NCE_CONST_cum
1701,,-87.716,14.582,-87.716,14.582,,-2.03,-1.91,-2.03,-1.91,,-0.572,0.162,-0.572,0.162
1702,,25.92,13.698,-61.796,28.28,,-3.384,-3.25,-5.414,-5.16,,-1.881,-0.575,-2.453,-0.413
1703,,-3.702,13.287,-65.498,41.567,,-4.078,-3.999,-9.492,-9.159,,0.615,-0.937,-1.838,-1.35
1704,,-82.776,13.226,-148.274,54.793,,-4.462,-4.227,-13.954,-13.386,,1.573,-1.175,-0.265,-2.525
1705,,96.077,13.883,-52.197,68.676,,-5.034,-4.887,-18.988,-18.273,,-0.661,-1.23,-0.926,-3.755
1706,,1.552,14.274,-50.645,82.95,,-5.452,-5.2,-24.44,-23.473,,-5.074,-1.327,-6,-5.082
1707,,-74.838,14.516,-125.483,97.466,,-5.432,-5.313,-29.872,-28.786,,-5.91,-1.373,-11.91,-6.455
1708,,55.662,14.201,-69.821,111.667,,-5.698,-5.619,-35.57,-34.405,,-5.538,-1.444,-17.448,-7.899
1709,,184.581,13.899,114.76,125.566,,-6.072,-5.858,-41.642,-40.263,,-1.706,-1.637,-19.154,-9.536
1710,,4.008,13.952,118.768,139.518,,-6.675,-6.485,-48.317,-46.748,,-4.205,-1.691,-23.359,-11.227
1711,,-266.257,13.832,-147.489,153.35,,-7.01,-6.676,-55.327,-53.424,,-8.62,-1.907,-31.979,-13.134
1712,,96.864,14.073,-50.625,167.423,,-6.542,-6.483,-61.869,-59.907,,-3.88,-1.974,-35.859,-15.108
1713,,-436.992,14.166,-487.617,181.589,,-7.347,-6.93,-69.216,-66.837,,-7.4,-2.096,-43.259,-17.204
1714,,100.103,14.095,-387.514,195.684,,-7.001,-6.919,-76.217,-73.756,,-2.307,-2.087,-45.566,-19.291
1715,,180.774,14.187,-206.74,209.871,,-7.041,-6.898,-83.258,-80.654,,-0.182,-2.068,-45.748,-21.359
1716,,135.243,14.695,-71.497,224.566,,-6.833,-6.826,-90.091,-87.48,,-2.387,-2.063,-48.135,-23.422
1717,,9.87,14.577,-61.627,239.143,,-7.11,-6.948,-97.201,-94.428,,-3.51,-2.087,-51.645,-25.509
1718,,39.604,14.937,-22.023,254.08,,-7.567,-7.465,-104.768,-101.893,,-4.035,-2.036,-55.68,-27.545
1719,,178.716,14.951,156.693,269.031,,-6.951,-7.135,-111.719,-109.028,,-0.938,-2.051,-56.618,-29.596
1720,,71.44,15.149,228.133,284.18,,-7.717,-7.648,-119.436,-116.676,,-4.768,-2.16,-61.386,-31.756
1721,,58.663,15.266,286.796,299.446,,-7.923,-7.996,-127.359,-124.672,,-3.751,-2.26,-65.137,-34.016
1722,,35.276,15.173,322.072,314.619,,-8.257,-7.996,-135.616,-132.668,,-2.772,-2.209,-67.909,-36.225
1723,,14.22,14.79,336.292,329.409,,-8.436,-8.058,-144.052,-140.726,,-4.273,-2.03,-72.182,-38.255
1724,,-67.646,14.373,268.646,343.782,,-8.099,-7.919,-152.151,-148.645,,-0.962,-2.322,-73.144,-40.577
1725,,135.576,14.32,404.222,358.102,,-8.251,-8.166,-160.402,-156.811,,3.454,-2.323,-69.69,-42.9
1726,,-129.111,14.228,275.111,372.33,,-8.15,-8.002,-168.552,-164.813,,-8.217,-2.387,-77.907,-45.287
1727,,-380.598,15.086,-105.487,387.416,,-8.502,-8.373,-177.054,-173.186,,-5.329,-2.223,-83.236,-47.51
1728,,219.982,14.917,114.495,402.333,,-8.049,-8.512,-185.103,-181.698,,-3.567,-2.322,-86.803,-49.832
1729,,42.483,14.892,156.978,417.225,,-8.431,-8.386,-193.534,-190.084,,-0.251,-2.228,-87.054,-52.06
1730,,39.116,15.345,196.094,432.57,,-8.96,-8.809,-202.494,-198.893,,3.505,-2.5,-83.549,-54.56
1731,,73.106,15.156,269.2,447.726,,-8.852,-8.905,-211.346,-207.798,,4.464,-2.34,-79.085,-56.9
1732,,141.58,14.829,410.78,462.555,,-8.963,-9.12,-220.309,-216.918,,-5.803,-2.46,-84.888,-59.36
1733,,7.137,14.288,417.917,476.843,,-9.517,-9.283,-229.826,-226.201,,0.53,-2.643,-84.358,-62.003
1734,,300.098,14.334,718.015,491.177,,-8.915,-9.175,-238.741,-235.376,,-0.062,-2.548,-84.42,-64.551
1735,,228.226,14.562,946.241,505.739,,-9.01,-9.192,-247.751,-244.568,,-2.369,-2.851,-86.789,-67.402
1736,,13.371,14.578,959.612,520.317,,-9.579,-9.309,-257.33,-253.877,,1.664,-2.812,-85.125,-70.214
1737,,25.035,14.678,984.647,534.995,,-9.28,-9.142,-266.61,-263.019,,-5.121,-2.625,-90.246,-72.839
1738,,49.292,14.771,1033.939,549.766,,-9.469,-9.529,-276.079,-272.548,,-4.647,-2.658,-94.893,-75.497
1739,,-50.467,14.978,983.472,564.744,,-9.534,-9.478,-285.613,-282.026,,-6.371,-2.729,-101.264,-78.226
1740,,94.652,14.346,1078.124,579.09,,-10.042,-10.062,-295.655,-292.088,,-6.02,-2.443,-107.284,-80.669
1741,,-28.66,13.401,1049.464,592.491,,-9.838,-10.251,-305.493,-302.339,,-2.716,-2.696,-110,-83.365
1742,,100.829,12.851,1150.293,605.342,,-10.471,-10.53,-315.964,-312.869,,-2.008,-2.41,-112.008,-85.775
1743,,-384.356,12.648,765.937,617.99,,-10.493,-10.195,-326.457,-323.064,,-15.055,-2.371,-127.063,-88.146
1744,,3.37,12.641,769.307,630.631,,-9.86,-10.609,-336.317,-333.673,,-12.646,-2.183,-139.709,-90.329
1745,,-16.235,12.596,753.072,643.227,,-10.749,-10.58,-347.066,-344.253,,-4.551,-2.248,-144.26,-92.577
1746,,115.849,13.062,868.921,656.289,,-11.058,-10.825,-358.124,-355.078,,0.149,-2.217,-144.111,-94.794
1747,,-111.869,13.969,757.052,670.258,,-10.959,-10.819,-369.083,-365.897,,-7.696,-1.844,-151.807,-96.638
1748,,68.22,13.864,825.272,684.122,,-11.019,-11.062,-380.102,-376.959,,-9.082,-2.15,-160.889,-98.788
1749,,119.123,13.602,944.395,697.724,,-10.923,-10.852,-391.025,-387.811,,-0.82,-2.172,-161.709,-100.96
1750,,21.861,13.695,966.256,711.419,,-11.954,-11.94,-402.979,-399.751,,-8.117,-3.275,-169.826,-104.235
1751,,77.104,13.5,1043.36,724.919,,-12.623,-12.175,-415.602,-411.926,,3.061,-4.521,-166.765,-108.756
1752,,14.324,14.149,1057.684,739.068,,-12.321,-12.412,-427.923,-424.338,,0.936,-4.554,-165.829,-113.31
1753,,7.011,14.362,1064.695,753.43,,-11.997,-11.977,-439.92,-436.315,,-13.554,-4.738,-179.383,-118.048
1754,,228.534,15.724,1293.229,769.154,,-13.181,-12.888,-453.101,-449.203,,-2.171,-5.294,-181.554,-123.342
1755,,178.579,16.348,1471.808,785.502,,-12.427,-12.572,-465.528,-461.775,,-3.011,-5.007,-184.565,-128.349
1756,,231.564,16.095,1703.372,801.597,,-12.009,-12.416,-477.537,-474.191,,-3.469,-5.334,-188.034,-133.683
1757,,-11.45,15.975,1691.922,817.572,,-12.403,-12.579,-489.94,-486.77,,-10.861,-5.692,-198.895,-139.375
1758,,24.6,16.026,1716.522,833.598,,-12.838,-12.83,-502.778,-499.6,,-10.743,-5.193,-209.638,-144.568
1759,,195.057,15.999,1911.579,849.597,,-12.873,-12.897,-515.651,-512.497,,1.089,-5.154,-208.549,-149.722
