year,ref_kn1003,ref_kn1004,ref_kn1005,ndep_kn1003,ndep_kn1004,ndep_kn1005,ref_kn1003_cum,ref_kn1004_cum,ref_kn1005_cum,ndep_kn1003_cum,ndep_kn1004,ndep_kn1005_cum,kn1003_effect,kn1004_effect,kn1005_effect
1701,-19.48,-20.187,-20.406,-19.154,-18.239,-19.02,-19.48,-20.187,-20.406,-19.154,-18.239,-19.02,0.326,1.948,1.386
1702,19.869,19.389,19.687,19.683,19.898,19.999,0.389,-0.798,-0.719,0.529,1.659,0.979,0.14,2.457,1.698
1703,-31.772,-31.793,-30.734,-31.308,-31.327,-30.189,-31.383,-32.591,-31.453,-30.779,-29.668,-29.21,0.604,2.923,2.243
1704,-23.232,-22.461,-21.791,-22.573,-22.801,-21.124,-54.615,-55.052,-53.244,-53.352,-52.469,-50.334,1.263,2.583,2.91
1705,31.585,32.15,32.651,31.625,31.07,33.015,-23.03,-22.902,-20.593,-21.727,-21.399,-17.319,1.303,1.503,3.274
1706,-33.549,-32.544,-32.753,-33.35,-34.534,-33.068,-56.579,-55.446,-53.346,-55.077,-55.933,-50.387,1.502,-0.487,2.959
1707,-18.126,-17.799,-18.285,-15.813,-17.141,-16.449,-74.705,-73.245,-71.631,-70.89,-73.074,-66.836,3.815,0.171,4.795
1708,36.464,36.773,36.059,34.844,34.038,33.882,-38.241,-36.472,-35.572,-36.046,-39.036,-32.954,2.195,-2.564,2.618
1709,-27.971,-27.563,-28.499,-27.51,-27.179,-27.894,-66.212,-64.035,-64.071,-63.556,-66.215,-60.848,2.656,-2.18,3.223
1710,-16.223,-16.285,-17.06,-15.02,-14.317,-15.472,-82.435,-80.32,-81.131,-78.576,-80.532,-76.32,3.859,-0.212,4.811
1711,44.694,44.625,43.658,41.791,42.499,41.027,-37.741,-35.695,-37.473,-36.785,-38.033,-35.293,0.956,-2.338,2.18
1712,-28.808,-29.156,-29.394,-27.967,-27.281,-28.485,-66.549,-64.851,-66.867,-64.752,-65.314,-63.778,1.797,-0.463,3.089
1713,-16.098,-16.659,-15.689,-15.574,-15.228,-15.404,-82.647,-81.51,-82.556,-80.326,-80.542,-79.182,2.321,0.968,3.374
1714,43.747,43.276,44.427,41.697,42.076,42.263,-38.9,-38.234,-38.129,-38.629,-38.466,-36.919,0.271,-0.232,1.21
1715,-35.03,-34.709,-33.414,-34.731,-34.007,-33.602,-73.93,-72.943,-71.543,-73.36,-72.473,-70.521,0.57,0.47,1.022
1716,-26.444,-25.42,-24.128,-24.067,-23.794,-22.906,-100.374,-98.363,-95.671,-97.427,-96.267,-93.427,2.947,2.096,2.244
1717,41.02,42.778,43.41,41.456,41.811,42.559,-59.354,-55.585,-52.261,-55.971,-54.456,-50.868,3.383,1.129,1.393
1718,-38.35,-36.064,-36.999,-38.935,-38.665,-38.686,-97.704,-91.649,-89.26,-94.906,-93.121,-89.554,2.798,-1.472,-0.294
1719,-30.13,-29.502,-29.713,-27.809,-28.362,-28.122,-127.834,-121.151,-118.973,-122.715,-121.483,-117.676,5.119,-0.332,1.297
1720,32.089,32.508,32.221,31.31,30.62,30.874,-95.745,-88.643,-86.752,-91.405,-90.863,-86.802,4.34,-2.22,-0.05
1721,-35.467,-34.431,-35.675,-37.334,-37.448,-37.481,-131.212,-123.074,-122.427,-128.739,-128.311,-124.283,2.473,-5.237,-1.856
1722,-33.777,-33.348,-34.254,-31.377,-30.961,-31.514,-164.989,-156.422,-156.681,-160.116,-159.272,-155.797,4.873,-2.85,0.884
1723,29.205,29.762,28.846,27.735,28.764,27.836,-135.784,-126.66,-127.835,-132.381,-130.508,-127.961,3.403,-3.848,-0.126
1724,-34.243,-34.361,-34.852,-35.425,-34.749,-35.482,-170.027,-161.021,-162.687,-167.806,-165.257,-163.443,2.221,-4.236,-0.756
1725,-32.895,-32.451,-32.615,-32.496,-31.025,-31.771,-202.922,-193.472,-195.302,-200.302,-196.282,-195.214,2.62,-2.81,0.088
1726,29.764,29.947,30.394,29.189,30.56,30.244,-173.158,-163.525,-164.908,-171.113,-165.722,-164.97,2.045,-2.197,-0.062
1727,-35.185,-35.724,-34.933,-35.074,-34.634,-34.004,-208.343,-199.249,-199.841,-206.187,-200.356,-198.974,2.156,-1.107,0.867
1728,-34.416,-35.118,-34.586,-35.859,-35.489,-34.836,-242.759,-234.367,-234.427,-242.046,-235.845,-233.81,0.713,-1.478,0.617
