year,ref_kn1003,ref_kn2004,ref_kn2005,ndep_kn2003,ndep_kn2004,ndep_kn2005,ref_kn2003_cum,ref_kn2004_cum,ref_kn2005_cum,ndep_kn2003_cum,ndep_kn2004,ndep_kn2005_cum,kn2003_effect,kn2004_effect,kn2005_effect,kn2003_effect,kn2004_effect,kn2005_effect
1701,-19.055,-20.187,-20.259,-19.539,-18.239,-20.518,-19.055,-20.187,-20.259,-19.539,-18.239,-20.518,-0.484,1.948,-0.259,-0.000484,0.001948,-0.000259
1702,21.404,19.389,17.83,15.253,19.898,16.442,2.349,-0.798,-2.429,-4.286,1.659,-4.076,-6.635,2.457,-1.647,-0.006635,0.002457,-0.001647
1703,-29.878,-31.793,-35.343,-38.506,-31.327,-35.859,-27.529,-32.591,-37.772,-42.792,-29.668,-39.935,-15.263,2.923,-2.163,-0.015263,0.002923,-0.002163
1704,-21.848,-22.461,-29.618,-32.646,-22.801,-29.201,-49.377,-55.052,-67.39,-75.438,-52.469,-69.136,-26.061,2.583,-1.746,-0.026061,0.002583,-0.001746
1705,31.481,32.15,22.138,19.761,31.07,22.664,-17.896,-22.902,-45.252,-55.677,-21.399,-46.472,-37.781,1.503,-1.22,-0.037781,0.001503,-0.00122
1706,-34.067,-32.544,-43.53,-46.134,-34.534,-43.086,-51.963,-55.446,-88.782,-101.811,-55.933,-89.558,-49.848,-0.487,-0.776,-0.049848,-0.000487,-0.000776
1707,-19.091,-17.799,-26.916,-27.6,-17.141,-24.628,-71.054,-73.245,-115.698,-129.411,-73.074,-114.186,-58.357,0.171,1.512,-0.058357,0.000171,0.001512
1708,35.697,36.773,28.821,24.327,34.038,27.103,-35.357,-36.472,-86.877,-105.084,-39.036,-87.083,-69.727,-2.564,-0.206,-0.069727,-0.002564,-0.000206
1709,-28.67,-27.563,-34.372,-37.713,-27.179,-33.517,-64.027,-64.035,-121.249,-142.797,-66.215,-120.6,-78.77,-2.18,0.649,-0.07877,-0.00218,0.000649
1710,-16.748,-16.285,-21.009,-25.955,-14.317,-19.432,-80.775,-80.32,-142.258,-168.752,-80.532,-140.032,-87.977,-0.212,2.226,-0.087977,-0.000212,0.002226
1711,44.835,44.625,41.878,30.328,42.499,39.37,-35.94,-35.695,-100.38,-138.424,-38.033,-100.662,-102.484,-2.338,-0.282,-0.102484,-0.002338,-0.000282
1712,-28.531,-29.156,-30.662,-38.971,-27.281,-29.577,-64.471,-64.851,-131.042,-177.395,-65.314,-130.239,-112.924,-0.463,0.803,-0.112924,-0.000463,0.000803
1713,-15.707,-16.659,-18.174,-25.524,-15.228,-17.003,-80.178,-81.51,-149.216,-202.919,-80.542,-147.242,-122.741,0.968,1.974,-0.122741,0.000968,0.001974
1714,44.405,43.276,40.65,33.039,42.076,39.6,-35.773,-38.234,-108.566,-169.88,-38.466,-107.642,-134.107,-0.232,0.924,-0.134107,-0.000232,0.000924
1715,-33.927,-34.709,-38.304,-42.934,-34.007,-36.987,-69.7,-72.943,-146.87,-212.814,-72.473,-144.629,-143.114,0.47,2.241,-0.143114,0.00047,0.002241
1716,-24.707,-25.42,-29.636,-32.564,-23.794,-27.222,-94.407,-98.363,-176.506,-245.378,-96.267,-171.851,-150.971,2.096,4.655,-0.150971,0.002096,0.004655
1717,43.101,42.778,38.233,32.792,41.811,37.762,-51.306,-55.585,-138.273,-212.586,-54.456,-134.089,-161.28,1.129,4.184,-0.16128,0.001129,0.004184
1718,-36.576,-36.064,-41.768,-48.605,-38.665,-43.646,-87.882,-91.649,-180.041,-261.191,-93.121,-177.735,-173.309,-1.472,2.306,-0.173309,-0.001472,0.002306
1719,-29.799,-29.502,-34.295,-39.642,-28.362,-32.883,-117.681,-121.151,-214.336,-300.833,-121.483,-210.618,-183.152,-0.332,3.718,-0.183152,-0.000332,0.003718
1720,31.52,32.508,26.423,20.22,30.62,25.431,-86.161,-88.643,-187.913,-280.613,-90.863,-185.187,-194.452,-2.22,2.726,-0.194452,-0.00222,0.002726
1721,-36.247,-34.431,-41.72,-47.013,-37.448,-43.888,-122.408,-123.074,-229.633,-327.626,-128.311,-229.075,-205.218,-5.237,0.558,-0.205218,-0.005237,0.000558
1722,-34.777,-33.348,-40.144,-40.46,-30.961,-37.729,-157.185,-156.422,-269.777,-368.086,-159.272,-266.804,-210.901,-2.85,2.973,-0.210901,-0.00285,0.002973
1723,28.606,29.762,23.879,18.598,28.764,22.533,-128.579,-126.66,-245.898,-349.488,-130.508,-244.271,-220.909,-3.848,1.627,-0.220909,-0.003848,0.001627
1724,-35.047,-34.361,-39.297,-45.739,-34.749,-40.354,-163.626,-161.021,-285.195,-395.227,-165.257,-284.625,-231.601,-4.236,0.57,-0.231601,-0.004236,0.00057
1725,-32.826,-32.451,-37.054,-42.77,-31.025,-36.23,-196.452,-193.472,-322.249,-437.997,-196.282,-320.855,-241.545,-2.81,1.394,-0.241545,-0.00281,0.001394
1726,30.707,29.947,26.354,19.016,30.56,26.135,-165.745,-163.525,-295.895,-418.981,-165.722,-294.72,-253.236,-2.197,1.175,-0.253236,-0.002197,0.001175
1727,-33.775,-35.724,-37.48,-44.576,-34.634,-36.89,-199.52,-199.249,-333.375,-463.557,-200.356,-331.61,-264.037,-1.107,1.765,-0.264037,-0.001107,0.001765
1728,-33.032,-35.118,-35.355,-44.006,-35.489,-36.195,-232.552,-234.367,-368.73,-507.563,-235.845,-367.805,-275.011,-1.478,0.925,-0.275011,-0.001478,0.000925
1729,31.474,29.89,29.884,22.291,29.966,29.559,-201.078,-204.477,-338.846,-485.272,-205.879,-338.246,-284.194,-1.402,0.6,-0.284194,-0.001402,0.0006
1730,-36.925,-38.443,-38.615,-45.044,-37.568,-38.628,-238.003,-242.92,-377.461,-530.316,-243.447,-376.874,-292.313,-0.527,0.587,-0.292313,-0.000527,0.000587
1731,-28.407,-29.238,-30.68,-38.448,-29.651,-32.278,-266.41,-272.158,-408.141,-568.764,-273.098,-409.152,-302.354,-0.94,-1.011,-0.302354,-0.00094,-0.001011
