year,NEP:LCLUC_2011,NCE: LCLUC_2011,NEP:LCLUC_const,NCE: LCLUC_const,cum_nep,cum_nce,cum_nep_const,cum_nce_const,,forest,NEP_2011,NEP_CONST,NEP_2011_cum,NEP_CONST_cum,crops,NEP_2011,NEP_CONST,NEP_2011_cum,NEP_CONST_cum,pasture,NEP_2011,NEP_CONST,NEP_2011_cum,NEP_CONST_cum
1701,-27.687,-33.052,8.95,4.411,-27.687,-33.052,8.95,4.411,,,-87.716,14.582,-87.716,14.582,,0.564,0.507,0.564,0.507,,2.199,2.284,2.199,2.284
1702,130.493,123.356,57.034,50.609,102.806,90.304,65.984,55.02,,,25.92,13.698,-61.796,28.28,,0.419,0.42,0.983,0.927,,1.453,2.178,3.652,4.462
1703,155.371,147.035,-5.175,-12.552,258.177,237.339,60.809,42.468,,,-3.702,13.287,-65.498,41.567,,0.363,0.28,1.346,1.207,,4.51,2.161,8.162,6.623
1704,34.876,25.848,3.801,-3.939,293.053,263.187,64.61,38.529,,,-82.776,13.226,-148.274,54.793,,0.125,0.213,1.471,1.42,,6.013,2.124,14.175,8.747
1705,314.045,304.114,59.347,50.98,607.098,567.301,123.957,89.509,,,96.077,13.883,-52.197,68.676,,0.085,0.133,1.556,1.553,,4.152,2.117,18.327,10.864
1706,-7.037,-16.231,-6.84,-15.617,600.061,551.07,117.117,73.892,,,1.552,14.274,-50.645,82.95,,-0.111,0.115,1.445,1.668,,-1.221,2.135,17.106,12.999
1707,-406.242,-414.951,8.289,-0.592,193.819,136.119,125.406,73.3,,,-74.838,14.516,-125.483,97.466,,0.049,0.11,1.494,1.778,,-2.682,2.084,14.424,15.083
1708,-29.844,-38.863,58.196,48.879,163.975,97.256,183.602,122.179,,,55.662,14.201,-69.821,111.667,,0.164,0.092,1.658,1.87,,-2.381,2.162,12.043,17.245
1709,255.083,245.4,-5.694,-15.455,419.058,342.656,177.908,106.724,,,184.581,13.899,114.76,125.566,,-0.034,0.082,1.624,1.952,,1.939,2.185,13.982,19.43
1710,-216.528,-227.425,3.986,-6.547,202.53,115.231,181.894,100.177,,,4.008,13.952,118.768,139.518,,0.003,0.121,1.627,2.073,,0.014,2.236,13.996,21.666
1711,-728.896,-739.516,58.363,47.427,-526.366,-624.285,240.257,147.604,,,-266.257,13.832,-147.489,153.35,,-0.162,0.086,1.465,2.159,,-4.847,2.268,9.149,23.934
1712,381.174,370.967,-7.186,-18.049,-145.192,-253.318,233.071,129.555,,,96.864,14.073,-50.625,167.423,,0.112,0.12,1.577,2.279,,-0.327,2.286,8.822,26.22
1713,-860.772,-871.718,7.748,-3.704,-1005.964,-1125.036,240.819,125.851,,,-436.992,14.166,-487.617,181.589,,-0.205,0.11,1.372,2.389,,-3.597,2.316,5.225,28.536
1714,208.405,197.318,59.569,48.012,-797.559,-927.718,300.388,173.863,,,100.103,14.095,-387.514,195.684,,0.038,0.164,1.41,2.553,,1.74,2.387,6.965,30.923
1715,463.641,451.923,-10.723,-22.288,-333.918,-475.795,289.665,151.575,,,180.774,14.187,-206.74,209.871,,0.024,0.171,1.434,2.724,,4.469,2.429,11.434,33.352
1716,292.558,280.466,7.38,-4.188,-41.36,-195.329,297.045,147.387,,,135.243,14.695,-71.497,224.566,,0.247,0.194,1.681,2.918,,2.627,2.485,14.061,35.837
1717,-96.238,-108.214,67.49,55.706,-137.598,-303.543,364.535,203.093,,,9.87,14.577,-61.627,239.143,,0.137,0.211,1.818,3.129,,1.219,2.538,15.28,38.375
1718,111.539,99.285,-10.794,-23.153,-26.059,-204.258,353.741,179.94,,,39.604,14.937,-22.023,254.08,,0.06,0.232,1.878,3.361,,0.593,2.626,15.873,41.001
1719,258.141,245.933,7.403,-4.71,232.082,41.675,361.144,175.23,,,178.716,14.951,156.693,269.031,,0.351,0.26,2.229,3.621,,3.967,2.666,19.84,43.667
1720,-5.064,-18.234,60.858,48.088,227.018,23.441,422.002,223.318,,,71.44,15.149,228.133,284.18,,0.211,0.253,2.44,3.874,,0.474,2.709,20.314,46.376
1721,-50.922,-64.121,-2.821,-16.029,176.096,-40.68,419.181,207.289,,,58.663,15.266,286.796,299.446,,0.287,0.212,2.727,4.086,,1.238,2.739,21.552,49.115
