year,nce,vegc,solc,dvegc,dsolc,nce_calc
1701,-33.052,65059.706,48379.396,,,
1702,123.356,65220.847,48321.422,161.141,-57.974,103.167
1703,147.035,65318.184,48350.302,97.337,28.88,126.217
1704,25.848,65389.184,48284.467,71,-65.835,5.165
1705,304.114,65666.79,48290.116,277.606,5.649,283.255
1706,-16.231,65475.005,48446.296,-191.785,156.18,-35.605
1707,-414.951,65218.489,48267.148,-256.516,-179.148,-435.664
1708,-38.863,65274.192,48153.867,55.703,-113.281,-57.578
1709,245.4,65639.417,48014.966,365.225,-138.901,226.324
1710,-227.425,65572.074,47835.257,-67.343,-179.709,-247.052
1711,-739.516,64999.157,47648.247,-572.917,-187.01,-759.927
1712,370.967,65503.498,47495.953,504.341,-152.294,352.047
1713,-871.718,64828.389,47279.725,-675.109,-216.228,-891.337
1714,197.318,65106.668,47179.629,278.279,-100.096,178.183
1715,451.923,65605.557,47113.914,498.889,-65.715,433.174
1716,280.466,65766.612,47213.658,161.055,99.744,260.799
1717,-108.214,65629.168,47223.932,-137.444,10.274,-127.17
1718,99.285,65694.929,47238.373,65.761,14.441,80.202
1719,245.933,65866.693,47294.51,171.764,56.137,227.901
1720,-18.234,65811.536,47312.955,-55.157,18.445,-36.712
1721,-64.121,65749.903,47291.883,-61.633,-21.072,-82.705
1722,-25.794,65801.555,47195.389,51.652,-96.494,-44.842
1723,33.232,65950.737,47060.381,149.182,-135.008,14.174
1724,96.416,65904.113,47184.994,-46.624,124.613,77.989
1725,280.132,66212.442,47137.778,308.329,-47.216,261.113
1726,-430.08,65695.918,47205.623,-516.524,67.845,-448.679
1727,-479.533,65223.756,47179.605,-472.162,-26.018,-498.18
1728,292.954,65609.804,47067.876,386.048,-111.729,274.319
1729,247.932,65783.205,47124.338,173.401,56.462,229.863
1730,283.998,66000.956,47172.158,217.751,47.82,265.571
1731,342.857,66199.454,47297.229,198.498,125.071,323.569
1732,144.17,66188.855,47432.177,-10.599,134.948,124.349
1733,253.078,66335.489,47519.898,146.634,87.721,234.355
1734,475.806,66614.006,47698.365,278.517,178.467,456.984
1735,81.661,66542.785,47832.563,-71.221,134.198,62.977
1736,216.805,66675.16,47897.23,132.375,64.667,197.042
1737,-74.658,66503.421,47975.511,-171.739,78.281,-93.458
1738,-0.301,66412.117,48048.037,-91.304,72.526,-18.778
1739,8.082,66438.247,48010.591,26.13,-37.446,-11.316
1740,-114.658,66276.697,48038.722,-161.55,28.131,-133.419
1741,-65.026,66184.117,48046.925,-92.58,8.203,-84.377
1742,112.22,66426.875,47896.9,242.758,-150.025,92.733
1743,-927.168,65603.523,47774.147,-823.352,-122.753,-946.105
1744,-294.915,65487.265,47576.671,-116.258,-197.476,-313.734
1745,-127.179,65679.275,47238.425,192.01,-338.246,-146.236
1746,305.982,66217.041,46986.958,537.766,-251.467,286.299
1747,-403.653,65875.257,46905.943,-341.784,-81.015,-422.799
1748,-182.067,65805.35,46774.894,-69.907,-131.049,-200.956
1749,246.449,66147.429,46660.751,342.079,-114.143,227.936
1750,-174.538,65997.883,46614.839,-149.546,-45.912,-195.458
1751,358.619,66452.582,46498.064,454.699,-116.775,337.924
1752,226.012,66493.341,46662.926,40.759,164.862,205.621
1753,-170.699,66383.661,46581.14,-109.68,-81.786,-191.466
1754,484.274,66712.979,46715.482,329.318,134.342,463.66
1755,308.362,66747.694,46970.519,34.715,255.037,289.752
1756,365.082,66964.836,47098.344,217.142,127.825,344.967
1757,-227.181,66744.112,47071.272,-220.724,-27.072,-247.796
1758,-49.471,66600.34,47146.658,-143.772,75.386,-68.386
1759,350.396,66905.735,47173.347,305.395,26.689,332.084
1760,-402.772,66362.238,47295.271,-543.497,121.924,-421.573
1761,-0.656,66431.91,47206.1,69.672,-89.171,-19.499
1762,-41.994,66421.629,47155.441,-10.281,-50.659,-60.94
1763,-74.29,66344.812,47138.613,-76.817,-16.828,-93.645
1764,-122.538,66274.546,47065.418,-70.266,-73.195,-143.461
1765,133.648,66544.28,46909.286,269.734,-156.132,113.602
1766,-145.088,66345.525,46944.036,-198.755,34.75,-164.005
1767,206.017,66560.02,46916.39,214.495,-27.646,186.849
1768,-676.775,65920.466,46860.394,-639.554,-55.996,-695.55
1769,103.85,66123.835,46740.98,203.369,-119.414,83.955
1770,-248.35,65927.276,46669.487,-196.559,-71.493,-268.052
1771,470.242,66404.455,46641.927,477.179,-27.56,449.619
1772,-146.378,66133.756,46744.38,-270.699,102.453,-168.246
1773,250.419,66304.144,46805.219,170.388,60.839,231.227
1774,388.554,66585.223,46892.298,281.079,87.079,368.158
1775,-156.227,66284.482,47017.323,-300.741,125.025,-175.716
1776,302.789,66597.21,46987.414,312.728,-29.909,282.819
1777,-652.946,65829.561,47082.552,-767.649,95.138,-672.511
1778,307.946,66266.353,46933.523,436.792,-149.029,287.763
1779,30.048,66207.862,47003.682,-58.491,70.159,11.668
1780,-30.772,66152.351,47006.992,-55.511,3.31,-52.201
1781,-340.871,65872.029,46924.916,-280.322,-82.076,-362.398
1782,101.576,66099.829,46778.554,227.8,-146.362,81.438
1783,-79.128,66055.664,46722.61,-44.165,-55.944,-100.109
1784,-86.059,65986.632,46685.232,-69.032,-37.378,-106.41
1785,401.439,66280.101,46772.481,293.469,87.249,380.718
1786,63.943,66354.463,46741.014,74.362,-31.467,42.895
1787,-406.82,65912.966,46755.56,-441.497,14.546,-426.951
1788,62.439,66042.114,46668.937,129.148,-86.623,42.525
1789,28.732,66126.614,46592.667,84.5,-76.27,8.23
1790,105.446,66152.578,46642.259,25.964,49.592,75.556
1791,668.282,66664.14,46768.804,511.562,126.545,638.107
1792,157.133,66573.637,46986.75,-90.503,217.946,127.443
1793,-461.102,65963.144,47106.788,-610.493,120.038,-490.455
1794,16.364,66014.82,47043.483,51.676,-63.305,-11.629
1795,1.947,66116.513,46916.738,101.693,-126.745,-25.052
1796,370.951,66260.487,47117.956,143.974,201.218,345.192
1797,81.218,66181.582,47252.631,-78.905,134.675,55.77
1798,-130.943,66054.396,47224.468,-127.186,-28.163,-155.349
1799,60.965,66039.25,47276.168,-15.146,51.7,36.554
1800,-621.829,65541.691,47120.475,-497.559,-155.693,-653.252
1801,57.482,65782.089,46907.416,240.398,-213.059,27.339
1802,-85.578,65754.664,46818.326,-27.425,-89.09,-116.515
1803,-195.548,65539.676,46810.882,-214.988,-7.444,-222.432
1804,242.733,65754.061,46810.061,214.385,-0.821,213.564
1805,-261.664,65415.484,46860.671,-338.577,50.61,-287.967
1806,340.883,65690.18,46899.825,274.696,39.154,313.85
1807,-406.181,65402.962,46754.292,-287.218,-145.533,-432.751
1808,15.639,65371.95,46775.587,-31.012,21.295,-9.717
1809,-15.058,65075.08,47037.124,-296.87,261.537,-35.333
1810,-368.118,64662.708,47046.434,-412.372,9.31,-403.062
1811,-282.79,64601.062,46791.099,-61.646,-255.335,-316.981
1812,-117.248,64622.061,46617.642,20.999,-173.457,-152.458
1813,-188.644,64350.2,46668.685,-271.861,51.043,-220.818
1814,318.014,64754.807,46550.426,404.607,-118.259,286.348
1815,-487.407,64161.002,46626.37,-593.805,75.944,-517.861
1816,521.74,64344.514,46936.003,183.512,309.633,493.145
1817,-157.654,63919.031,47175.522,-425.483,239.519,-185.964
1818,-61.676,63763.416,47243.05,-155.615,67.528,-88.087
