year,nce_fixed_lulcc,nce_cum_fixed_lulcc,nep_fixed_lulcc,nep_cum_flixed_lulcc,nce,nce_cum_old_tem,nep_old_tem,nep_cum_old_tem,nce_old_hurtt,nce_cum_old_hurtt,nep_old_hurtt,nep_cum_old_hurtt,vegc,solc
1701,-32.376,-32.376,-27.079,-27.079,584.962,584.962,585.017,585.017,-85.298,-85.298,-30.947,-30.947,65062.385,48379.407
1702,120.114,87.738,127.082,100.003,-252.738,332.224,-232.961,352.056,64.213,-21.085,121.087,90.14,65220.388,48321.331
1703,147.089,234.827,155.208,255.211,296.683,628.907,317.27,669.326,90.95,69.865,151.753,241.893,65318.018,48349.92
1704,26.318,261.145,35.115,290.326,42.356,671.263,64.005,733.331,-28.342,41.523,35.653,277.546,65389.416,48284.111
1705,302.427,563.572,312.113,602.439,-15.102,656.161,7.501,740.832,236.058,277.581,302.921,580.467,65665.277,48289.759
1706,-16.459,547.113,-7.505,594.934,-361.141,295.02,-337.712,403.12,-92.836,184.745,-25.263,555.204,65473.315,48445.834
1707,-414.248,132.865,-405.778,189.156,-412.44,-117.42,-387.626,15.494,-484.939,-300.194,-413.606,141.598,65217.378,48266.76
1708,-38.496,94.369,-29.694,159.462,73.747,-43.673,98.004,113.498,-110.476,-410.67,-35.576,106.022,65273.312,48153.654
1709,244.918,339.287,254.359,413.821,119.476,75.803,144.055,257.553,179.412,-231.258,258,364.022,65638.091,48014.736
1710,-226.932,112.355,-216.315,197.506,-241.068,-165.265,-216.761,40.792,-317.295,-548.553,-236.215,127.807,65571.107,47835.12
1711,-739.561,-627.206,-729.21,-531.704,-403.784,-569.049,-379.067,-338.275,-808.004,-1356.557,-726.015,-598.208,64998.176,47648.094
1712,371.008,-256.198,380.962,-150.742,258.778,-310.271,282.304,-55.971,298.138,-1058.419,380.776,-217.432,65502.556,47495.808
1713,-871.561,-1127.759,-860.918,-1011.66,-661.655,-971.926,-638.293,-694.264,-933.689,-1992.108,-849.745,-1067.177,64827.594,47279.556
1714,197.395,-930.364,208.212,-803.448,549.075,-422.851,571.661,-122.603,115.153,-1876.955,198.425,-868.752,65105.927,47179.536
1715,451.639,-478.725,463.058,-340.39,-150.231,-573.082,-126.427,-249.03,381.926,-1495.029,467.44,-401.312,65604.562,47113.799
1716,281.008,-197.717,292.754,-47.636,129.636,-443.446,152.757,-96.273,201.584,-1293.445,287.691,-113.621,65766.14,47213.537
1717,-108.22,-305.937,-96.581,-144.217,179.52,-263.926,204.283,108.01,-180.094,-1473.539,-92.165,-205.786,65628.717,47223.775
1718,98.957,-206.98,110.882,-33.335,-362.913,-626.839,-338.404,-230.394,30.404,-1443.135,118.339,-87.447,65694.229,47238.172
1719,245.85,38.87,257.733,224.398,408.1,-218.739,432.54,202.146,170.839,-1272.296,259.327,171.88,65865.959,47294.307
1720,-19.145,19.725,-6.326,218.072,-123.855,-342.594,-99.339,102.807,-89.327,-1361.623,0.709,172.589,65809.94,47312.684
1721,-63.964,-44.239,-51.098,166.974,0.417,-342.177,25.431,128.238,-137.324,-1498.947,-45.65,126.939,65748.407,47291.726
1722,-25.318,-69.557,-12.075,154.899,170.833,-171.344,194.413,322.651,-100.004,-1598.951,-8.07,118.869,65800.58,47195.209
1723,32.782,-36.775,45.777,200.676,-244.884,-416.228,-221.089,101.562,-42.188,-1641.139,49.137,168.006,65949.409,47060.138
1724,96.346,59.571,109.943,310.619,-108.31,-524.538,-84.916,16.646,17.814,-1623.325,110.433,278.439,65902.724,47184.804
1725,279.908,339.479,294.329,604.948,280.316,-244.222,304.06,320.706,202.491,-1420.834,295.224,573.663,66210.998,47137.468
1726,-430.275,-90.796,-416.618,188.33,-735.685,-979.907,-711.676,-390.97,-506.915,-1927.749,-412.933,160.73,65694.437,47205.184
1727,-478.413,-569.209,-465.124,-276.794,32.923,-946.984,57.668,-333.302,-559.472,-2487.221,-468.059,-307.329,65223.46,47179.25
1728,292.196,-277.013,305.958,29.164,174.099,-772.885,198.702,-134.6,210.932,-2276.289,304.171,-3.158,65608.785,47067.602
1729,247.456,-29.557,261.639,290.803,182.009,-590.876,206.564,71.964,177.216,-2099.073,273.964,270.806,65781.794,47124.02
1730,283.975,254.418,299.414,590.217,-120.783,-711.659,-95.886,-23.922,204.23,-1894.843,301.482,572.288,65999.528,47171.821
1731,343.259,597.677,359.463,949.68,455.614,-256.045,480.208,456.286,268.83,-1626.013,365.164,937.452,66198.424,47296.869
1732,144.235,741.912,160.028,1109.708,-145.935,-401.98,-121.971,334.315,66.201,-1559.812,164.241,1101.693,66187.805,47431.875
1733,253.106,995.018,269.535,1379.243,487.268,85.288,511.414,845.729,175.781,-1384.031,274.241,1375.934,66334.533,47519.583
1734,475.428,1470.446,492.087,1871.33,-239.669,-154.381,-216.335,629.394,375.754,-1008.277,474.462,1850.396,66612.7,47698.012
1735,82.426,1552.872,98.934,1970.264,-90.954,-245.335,-66.795,562.599,-18,-1026.277,81.26,1931.656,66542.231,47832.248
1736,216.503,1769.375,234.217,2204.481,-16.175,-261.51,7.989,570.588,146.267,-880.01,247.647,2179.303,66674.325,47896.949
1737,-75.265,1694.11,-58.684,2145.797,-488.229,-749.739,-462.431,108.157,-157.418,-1037.428,-55.386,2123.917,66502.045,47975.156
1738,-0.25,1693.86,16.526,2162.323,115.724,-634.015,140.771,248.928,-87.632,-1125.06,13.662,2137.579,66410.923,48047.692
1739,8.147,1702.007,24.955,2187.278,-190.884,-824.899,-166.043,82.885,-70.775,-1195.835,31.593,2169.172,66437.222,48010.252
1740,-114.898,1587.109,-98.278,2089,133.128,-691.771,158.377,241.262,-196.102,-1391.937,-91.627,2077.545,66275.555,48038.387
1741,-65.786,1521.323,-48.259,2040.741,9.254,-682.517,34.173,275.435,-132.671,-1524.608,-30.119,2047.426,66182.511,48046.431
1742,112.484,1633.807,130.668,2171.409,-209.756,-892.273,-185.767,89.668,28.213,-1496.395,133.051,2180.477,66425.622,47896.381
1743,-927.117,706.69,-910.337,1261.072,-882.194,-1774.467,-858.104,-768.436,-998.202,-2494.597,-893.293,1287.184,65602.429,47773.62
1744,-295.468,411.222,-279.561,981.511,421.023,-1353.444,444.919,-323.517,-384,-2878.597,-278.126,1009.058,65486.01,47576.121
1745,-126.657,284.565,-109.976,871.535,-181.948,-1535.392,-158.101,-481.618,-194.413,-3073.01,-86.028,923.03,65678.662,47237.917
1746,305.493,590.058,323.858,1195.393,372.235,-1163.157,396.306,-85.312,223.675,-2849.335,331.579,1254.609,66216.098,46986.488
1747,-404.12,185.938,-386.344,809.049,-280.255,-1443.412,-255.32,-340.632,-482.106,-3331.441,-375.624,878.985,65874.015,46905.43
1748,-181.516,4.422,-163.672,645.377,-159.392,-1602.804,-134.309,-474.941,-281.792,-3613.233,-172.477,706.508,65804.911,46774.382
1749,245.565,249.987,263.463,908.84,136.368,-1466.436,161.444,-313.497,158.436,-3454.797,268.074,974.582,66146.278,46660.239
1750,-174.84,75.147,-154.737,754.103,-251.483,-1717.919,-226.052,-539.549,-258.321,-3713.118,-146.241,828.341,65996.401,46614.304
1751,359.055,434.202,381.302,1135.405,128.51,-1589.409,152.648,-386.901,291.725,-3421.393,402.635,1230.976,66451.549,46497.482
1752,226.566,660.768,250.034,1385.439,39.238,-1550.171,62.828,-324.073,154.859,-3266.534,265.226,1496.202,66492.947,46662.245
1753,-171.393,489.375,-149.467,1235.972,-331.504,-1881.675,-307.859,-631.932,-246.095,-3512.629,-135.177,1361.025,66382.429,46580.543
1754,483.686,973.061,506.631,1742.603,291.282,-1590.393,313.873,-318.059,390.851,-3121.778,501.044,1862.069,66711.298,46714.781
1755,309.755,1282.816,332.91,2075.513,-183.319,-1773.712,-159.82,-477.879,228.702,-2893.076,340.221,2202.29,66747.397,46969.818
1756,364.932,1647.748,388.733,2464.246,262.201,-1511.511,285.59,-192.289,280.155,-2612.921,392.478,2594.768,66963.901,47097.93
1757,-228.064,1419.684,-204.224,2260.022,12.126,-1499.385,36.499,-155.79,-297.863,-2910.784,-181.645,2413.123,66742.441,47070.735
1758,-50.046,1369.638,-26.778,2233.244,-243.73,-1743.115,-219.23,-375.02,-120.261,-3031.045,-4.996,2408.127,66598.298,47145.901
1759,351.827,1721.465,376.176,2609.42,374.009,-1369.106,398.592,23.572,268.677,-2762.368,383.322,2791.449,66905.013,47172.581
1760,-402.518,1318.947,-376.967,2232.453,-223.567,-1592.673,-199.298,-175.726,-470.258,-3232.626,-358.183,2433.266,66361.656,47294.721
1761,-2.838,1316.109,22.165,2254.618,270.141,-1322.532,294.643,118.917,-82.085,-3314.711,31.808,2465.074,66429.434,47205.455
1762,-41.71,1274.399,-15.638,2238.98,-233.647,-1556.179,-209.71,-90.793,-106.143,-3420.854,8.48,2473.554,66419.816,47154.599
1763,-72.542,1201.857,-46.263,2192.717,-63.233,-1619.412,-39.091,-129.884,-134.689,-3555.543,-19.597,2453.957,66344.796,47137.913
1764,-124.15,1077.707,-98.804,2093.913,-13.069,-1632.481,9.706,-120.178,-205.145,-3760.688,-87.855,2366.102,66273.23,47064.734
1765,132.268,1209.975,158.386,2252.299,29.319,-1603.162,53.017,-67.161,70.619,-3690.069,188.651,2554.753,66542.079,46908.383
1766,-143.881,1066.094,-117.008,2135.291,-78.067,-1681.229,-54.312,-121.473,-208.196,-3898.265,-91.579,2463.174,66344.661,46943.163
